basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,80.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,137.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,103.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,131.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,138.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,14,2,6,0,0,1,0,0,0,0,7,6,0,1,0,158,20.531645569620252
101d0,10,0,3,0,0,0,1,0,0,0,5,3,1,0,1,158,44.550632911392405
101f8,67,0,28,3,0,1,0,0,0,8,56,2,0,1,0,1264,135.14003164556962
102f0,5,0,2,0,0,1,0,0,0,0,4,0,0,1,0,158,20.525316455696203
10304,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,158,44.550632911392405
10310,15,0,5,0,0,1,0,0,0,2,11,1,0,1,0,8216,110.70192307692308
1034c,84,0,34,11,0,0,1,0,0,12,65,2,4,0,1,1106,117.22332730560579
1049c,4,0,2,0,0,1,0,0,0,0,3,0,0,1,0,7110,24.341772151898734
104ac,7,0,4,0,0,1,0,0,0,1,5,0,0,1,0,7110,20.119971870604783
104c8,85,0,34,7,0,1,0,0,0,11,66,3,4,1,0,948,116.5
105b4,26,0,8,1,0,1,0,0,0,4,19,2,0,1,0,7268,111.80531095211887
