basic_block_address,instructions,stack_ops,arithmetic_ops,logical_ops,function_calls,branches,direct_jumps,indirect_jumps,syscalls,r_type,i_type,s_type,u_type,b_type,j_type,times_executed,time
100b0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100c8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,59.0
100cc,8,0,5,0,0,0,1,0,0,1,4,0,2,0,1,1,67.0
100ec,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,57.0
100f8,3,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,20.0
10104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,57.0
10108,4,1,2,0,0,0,1,0,0,0,3,0,0,0,1,1,136.0
10118,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,102.0
1011c,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,131.0
10124,7,2,3,0,0,1,0,0,0,0,3,2,1,1,0,1,138.0
10150,6,2,2,0,0,0,0,1,0,0,5,1,0,0,0,1,139.0
1016c,3,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,55.0
1018c,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,55.0
10190,15,2,10,0,0,0,1,0,0,0,10,3,1,0,1,1,131.0
101cc,5,0,4,0,0,0,1,0,0,0,4,0,0,0,1,1,131.0
101e0,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,132.0
101e8,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,1,104.0
101f4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,139.0
10200,5,2,2,0,0,0,0,1,0,0,5,0,0,0,0,1,139.0
10214,7,2,4,0,0,0,0,1,0,0,6,1,0,0,0,1,139.0
10230,9,2,4,0,0,0,1,0,0,0,5,3,0,0,1,1,140.0
10254,7,2,3,0,0,0,0,1,0,0,6,1,0,0,0,1,140.0
10270,6,2,3,0,0,0,1,0,0,0,3,2,0,0,1,1,138.0
10288,6,2,3,0,0,0,0,1,0,0,6,0,0,0,0,1,131.0
102a0,8,2,3,0,0,0,1,0,0,0,3,4,0,0,1,2,134.0
102c0,6,0,2,0,0,0,1,0,0,0,2,3,0,0,1,1479,70.06152805949966
